season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,win_type,margin,is_home_win,won_toss_and_match,match_result
2023,Mumbai Indians,Gujarat Giants,2023-03-04,1.0,Dr DY Patil Sports Academy,Navi Mumbai,Gujarat Giants,field,H Kaur,N Pandit,VG Rathi,Ranjeev Sharma,GS Lakshmi,Mumbai Indians,143.0,,runs,143.0,True,False,Mumbai Indians won by 143 runs
2023,Gujarat Giants,UP Warriorz,2023-03-05,3.0,Dr DY Patil Sports Academy,Navi Mumbai,Gujarat Giants,bat,GM Harris,Gayathri Venugopal,Sanjay Kumar Singh,N Pandit,AV Narvekar,UP Warriorz,,3.0,wickets,3.0,False,False,UP Warriorz won by 3 wickets
2023,Delhi Capitals,Royal Challengers Bangalore,2023-03-05,2.0,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,field,TG Norris,Chirra Ravikanthreddy,N Janani,Saurabh Dhote,RB Kalita,Delhi Capitals,60.0,,runs,60.0,True,False,Delhi Capitals won by 60 runs
2023,Royal Challengers Bangalore,Mumbai Indians,2023-03-06,4.0,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,bat,HK Matthews,PG Pathak,Ranjeev Sharma,Sanjay Kumar Singh,VR Nagre,Mumbai Indians,,9.0,wickets,9.0,False,False,Mumbai Indians won by 9 wickets
2023,Delhi Capitals,UP Warriorz,2023-03-07,5.0,Dr DY Patil Sports Academy,Navi Mumbai,UP Warriorz,field,JL Jonassen,Chirra Ravikanthreddy,VG Rathi,M Kuppuraj,RB Kalita,Delhi Capitals,42.0,,runs,42.0,True,False,Delhi Capitals won by 42 runs
2023,Gujarat Giants,Royal Challengers Bangalore,2023-03-08,6.0,Brabourne Stadium,Mumbai,Gujarat Giants,bat,SIR Dunkley,Ranjeev Sharma,Sanjay Kumar Singh,Gayathri Venugopal,GS Lakshmi,Gujarat Giants,11.0,,runs,11.0,True,True,Gujarat Giants won by 11 runs
2023,Delhi Capitals,Mumbai Indians,2023-03-09,7.0,Dr DY Patil Sports Academy,Navi Mumbai,Delhi Capitals,bat,S Ishaque,M Kuppuraj,VG Rathi,Chirra Ravikanthreddy,VR Nagre,Mumbai Indians,,8.0,wickets,8.0,False,False,Mumbai Indians won by 8 wickets
2023,Royal Challengers Bangalore,UP Warriorz,2023-03-10,8.0,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,bat,AJ Healy,N Janani,Saurabh Dhote,N Pandit,AV Narvekar,UP Warriorz,,10.0,wickets,10.0,False,False,UP Warriorz won by 10 wickets
2023,Gujarat Giants,Delhi Capitals,2023-03-11,9.0,Dr DY Patil Sports Academy,Navi Mumbai,Gujarat Giants,bat,M Kapp,Gayathri Venugopal,Sanjay Kumar Singh,M Kuppuraj,GS Lakshmi,Delhi Capitals,,10.0,wickets,10.0,False,False,Delhi Capitals won by 10 wickets
2023,UP Warriorz,Mumbai Indians,2023-03-12,10.0,Brabourne Stadium,Mumbai,UP Warriorz,bat,H Kaur,N Janani,PG Pathak,Ranjeev Sharma,RB Kalita,Mumbai Indians,,8.0,wickets,8.0,False,False,Mumbai Indians won by 8 wickets
2023,Royal Challengers Bangalore,Delhi Capitals,2023-03-13,11.0,Dr DY Patil Sports Academy,Navi Mumbai,Delhi Capitals,field,JL Jonassen,N Pandit,Saurabh Dhote,Sanjay Kumar Singh,AV Narvekar,Delhi Capitals,,6.0,wickets,6.0,False,True,Delhi Capitals won by 6 wickets
2023,Mumbai Indians,Gujarat Giants,2023-03-14,12.0,Brabourne Stadium,Mumbai,Gujarat Giants,field,H Kaur,Chirra Ravikanthreddy,Gayathri Venugopal,VG Rathi,VR Nagre,Mumbai Indians,55.0,,runs,55.0,True,False,Mumbai Indians won by 55 runs
2023,UP Warriorz,Royal Challengers Bangalore,2023-03-15,13.0,Dr DY Patil Sports Academy,Navi Mumbai,Royal Challengers Bangalore,field,KS Ahuja,M Kuppuraj,Sanjay Kumar Singh,PG Pathak,GS Lakshmi,Royal Challengers Bangalore,,5.0,wickets,5.0,False,True,Royal Challengers Bangalore won by 5 wickets
2023,Gujarat Giants,Delhi Capitals,2023-03-16,14.0,Brabourne Stadium,Mumbai,Delhi Capitals,field,A Gardner,Ranjeev Sharma,Saurabh Dhote,Gayathri Venugopal,RB Kalita,Gujarat Giants,11.0,,runs,11.0,True,False,Gujarat Giants won by 11 runs
2023,Mumbai Indians,UP Warriorz,2023-03-18,15.0,Dr DY Patil Sports Academy,Navi Mumbai,UP Warriorz,field,DB Sharma,Gayathri Venugopal,N Pandit,N Janani,VR Nagre,UP Warriorz,,5.0,wickets,5.0,False,True,UP Warriorz won by 5 wickets
2023,Gujarat Giants,Royal Challengers Bangalore,2023-03-18,16.0,Brabourne Stadium,Mumbai,Gujarat Giants,bat,SFM Devine,Sanjay Kumar Singh,VG Rathi,Chirra Ravikanthreddy,AV Narvekar,Royal Challengers Bangalore,,8.0,wickets,8.0,False,False,Royal Challengers Bangalore won by 8 wickets
2023,Mumbai Indians,Delhi Capitals,2023-03-20,18.0,Dr DY Patil Sports Academy,Navi Mumbai,Delhi Capitals,field,M Kapp,Chirra Ravikanthreddy,Ranjeev Sharma,VG Rathi,RB Kalita,Delhi Capitals,,9.0,wickets,9.0,False,True,Delhi Capitals won by 9 wickets
2023,Gujarat Giants,UP Warriorz,2023-03-20,17.0,Brabourne Stadium,Mumbai,Gujarat Giants,bat,GM Harris,Sanjay Kumar Singh,Saurabh Dhote,N Janani,GS Lakshmi,UP Warriorz,,3.0,wickets,3.0,False,False,UP Warriorz won by 3 wickets
2023,UP Warriorz,Delhi Capitals,2023-03-21,20.0,Brabourne Stadium,Mumbai,Delhi Capitals,field,A Capsey,Gayathri Venugopal,N Pandit,PG Pathak,VR Nagre,Delhi Capitals,,5.0,wickets,5.0,False,True,Delhi Capitals won by 5 wickets
2023,Royal Challengers Bangalore,Mumbai Indians,2023-03-21,19.0,Dr DY Patil Sports Academy,Navi Mumbai,Mumbai Indians,field,AC Kerr,M Kuppuraj,N Janani,Saurabh Dhote,AV Narvekar,Mumbai Indians,,4.0,wickets,4.0,False,True,Mumbai Indians won by 4 wickets
2023,Mumbai Indians,UP Warriorz,2023-03-24,,Dr DY Patil Sports Academy,Navi Mumbai,UP Warriorz,field,NR Sciver-Brunt,N Pandit,Saurabh Dhote,Gayathri Venugopal,RB Kalita,Mumbai Indians,72.0,,runs,72.0,True,False,Mumbai Indians won by 72 runs
2023,Delhi Capitals,Mumbai Indians,2023-03-26,,Brabourne Stadium,Mumbai,Delhi Capitals,bat,NR Sciver-Brunt,N Janani,VG Rathi,Gayathri Venugopal,GS Lakshmi,Mumbai Indians,,7.0,wickets,7.0,False,False,Mumbai Indians won by 7 wickets
2024,Delhi Capitals,Mumbai Indians,2024-02-23,1.0,M Chinnaswamy Stadium,Bengaluru,Mumbai Indians,field,H Kaur,A Bengeri,VG Rathi,M Krishnadas,GS Lakshmi,Mumbai Indians,,4.0,wickets,4.0,False,True,Mumbai Indians won by 4 wickets
2024,Royal Challengers Bangalore,UP Warriorz,2024-02-24,2.0,M Chinnaswamy Stadium,Bengaluru,UP Warriorz,field,S Asha,Abhijit Bhattacharya,N Janani,Mohamad Rafi,RB Kalita,Royal Challengers Bangalore,2.0,,runs,2.0,True,False,Royal Challengers Bangalore won by 2 runs
2024,Gujarat Giants,Mumbai Indians,2024-02-25,3.0,M Chinnaswamy Stadium,Bengaluru,Mumbai Indians,field,AC Kerr,Gayathri Venugopal,P Jayapal,A Bengeri,AV Narvekar,Mumbai Indians,,5.0,wickets,5.0,False,True,Mumbai Indians won by 5 wickets
2024,UP Warriorz,Delhi Capitals,2024-02-26,4.0,M Chinnaswamy Stadium,Bengaluru,Delhi Capitals,field,M Kapp,M Krishnadas,PG Pathak,Abhijit Bhattacharya,VR Nagre,Delhi Capitals,,9.0,wickets,9.0,False,True,Delhi Capitals won by 9 wickets
2024,Gujarat Giants,Royal Challengers Bangalore,2024-02-27,5.0,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,field,Renuka Singh,Mohamad Rafi,P Joshi,P Jayapal,M Mangla,Royal Challengers Bangalore,,8.0,wickets,8.0,False,True,Royal Challengers Bangalore won by 8 wickets
2024,Mumbai Indians,UP Warriorz,2024-02-28,6.0,M Chinnaswamy Stadium,Bengaluru,UP Warriorz,field,KP Navgire,A Bengeri,VG Rathi,PG Pathak,GS Lakshmi,UP Warriorz,,7.0,wickets,7.0,False,True,UP Warriorz won by 7 wickets
2024,Delhi Capitals,Royal Challengers Bangalore,2024-02-29,7.0,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,field,M Kapp,Abhijit Bhattacharya,N Janani,P Joshi,RB Kalita,Delhi Capitals,25.0,,runs,25.0,True,False,Delhi Capitals won by 25 runs
2024,Gujarat Giants,UP Warriorz,2024-03-01,8.0,M Chinnaswamy Stadium,Bengaluru,UP Warriorz,field,GM Harris,Gayathri Venugopal,P Jayapal,VG Rathi,AV Narvekar,UP Warriorz,,6.0,wickets,6.0,False,True,UP Warriorz won by 6 wickets
2024,Royal Challengers Bangalore,Mumbai Indians,2024-03-02,9.0,M Chinnaswamy Stadium,Bengaluru,Mumbai Indians,field,AC Kerr,M Krishnadas,PG Pathak,N Janani,VR Nagre,Mumbai Indians,,7.0,wickets,7.0,False,True,Mumbai Indians won by 7 wickets
2024,Delhi Capitals,Gujarat Giants,2024-03-03,10.0,M Chinnaswamy Stadium,Bengaluru,Gujarat Giants,field,JL Jonassen,Mohamad Rafi,P Joshi,Gayathri Venugopal,M Mangla,Delhi Capitals,25.0,,runs,25.0,True,False,Delhi Capitals won by 25 runs
2024,Royal Challengers Bangalore,UP Warriorz,2024-03-04,11.0,M Chinnaswamy Stadium,Bengaluru,UP Warriorz,field,S Mandhana,A Bengeri,VG Rathi,M Krishnadas,GS Lakshmi,Royal Challengers Bangalore,23.0,,runs,23.0,True,False,Royal Challengers Bangalore won by 23 runs
2024,Delhi Capitals,Mumbai Indians,2024-03-05,12.0,Arun Jaitley Stadium,Delhi,Mumbai Indians,field,JI Rodrigues,Abhijit Bhattacharya,N Janani,Mohamad Rafi,RB Kalita,Delhi Capitals,29.0,,runs,29.0,True,False,Delhi Capitals won by 29 runs
2024,Gujarat Giants,Royal Challengers Bangalore,2024-03-06,13.0,Arun Jaitley Stadium,Delhi,Gujarat Giants,bat,BL Mooney,Gayathri Venugopal,P Jayapal,A Bengeri,AV Narvekar,Gujarat Giants,19.0,,runs,19.0,True,True,Gujarat Giants won by 19 runs
2024,Mumbai Indians,UP Warriorz,2024-03-07,14.0,Arun Jaitley Stadium,Delhi,Mumbai Indians,bat,NR Sciver-Brunt,M Krishnadas,PG Pathak,Abhijit Bhattacharya,VR Nagre,Mumbai Indians,42.0,,runs,42.0,True,True,Mumbai Indians won by 42 runs
2024,UP Warriorz,Delhi Capitals,2024-03-08,15.0,Arun Jaitley Stadium,Delhi,UP Warriorz,bat,DB Sharma,Mohamad Rafi,P Joshi,P Jayapal,M Mangla,UP Warriorz,1.0,,runs,1.0,True,True,UP Warriorz won by 1 runs
2024,Gujarat Giants,Mumbai Indians,2024-03-09,16.0,Arun Jaitley Stadium,Delhi,Gujarat Giants,bat,H Kaur,A Bengeri,VG Rathi,PG Pathak,GS Lakshmi,Mumbai Indians,,7.0,wickets,7.0,False,False,Mumbai Indians won by 7 wickets
2024,Delhi Capitals,Royal Challengers Bangalore,2024-03-10,17.0,Arun Jaitley Stadium,Delhi,Delhi Capitals,bat,JI Rodrigues,Abhijit Bhattacharya,N Janani,P Joshi,RB Kalita,Delhi Capitals,1.0,,runs,1.0,True,True,Delhi Capitals won by 1 runs
2024,Gujarat Giants,UP Warriorz,2024-03-11,18.0,Arun Jaitley Stadium,Delhi,Gujarat Giants,bat,SM Shakil,Gayathri Venugopal,P Jayapal,VG Rathi,AV Narvekar,Gujarat Giants,8.0,,runs,8.0,True,True,Gujarat Giants won by 8 runs
2024,Mumbai Indians,Royal Challengers Bangalore,2024-03-12,19.0,Arun Jaitley Stadium,Delhi,Royal Challengers Bangalore,field,EA Perry,M Krishnadas,PG Pathak,N Janani,VR Nagre,Royal Challengers Bangalore,,7.0,wickets,7.0,False,True,Royal Challengers Bangalore won by 7 wickets
2024,Gujarat Giants,Delhi Capitals,2024-03-13,20.0,Arun Jaitley Stadium,Delhi,Gujarat Giants,bat,Shafali Verma,Mohamad Rafi,P Joshi,Gayathri Venugopal,M Mangla,Delhi Capitals,,7.0,wickets,7.0,False,False,Delhi Capitals won by 7 wickets
2024,Royal Challengers Bangalore,Mumbai Indians,2024-03-15,,Arun Jaitley Stadium,Delhi,Royal Challengers Bangalore,bat,EA Perry,Gayathri Venugopal,P Joshi,Abhijit Bhattacharya,VR Nagre,Royal Challengers Bangalore,5.0,,runs,5.0,True,True,Royal Challengers Bangalore won by 5 runs
2024,Delhi Capitals,Royal Challengers Bangalore,2024-03-17,,Arun Jaitley Stadium,Delhi,Delhi Capitals,bat,S Molineux,Abhijit Bhattacharya,Gayathri Venugopal,PG Pathak,GS Lakshmi,Royal Challengers Bangalore,,8.0,wickets,8.0,False,False,Royal Challengers Bangalore won by 8 wickets
